stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
node/10276806528,Nouveau goudron Abatta,5.374379,-3.928898,,,,,,,,,,
node/10276806529,Boulangerie,5.390160,-3.923825,,,,,,,,,,
node/10276806530,Carrefour Nouvelle Construction,5.395838,-3.928953,,,,,,,,,,
node/10276806531,Carrefour Miss Zahoui,5.398060,-3.944726,,,,,,,,,,
node/10276806532,Carrefour Nouveau CHU,5.399365,-3.953972,,,,,,,,,,
node/10276806533,Pharmacie Sainte Clémentine,5.405099,-3.956167,,,,,,,,,,
node/10276806534,Carrefour Oribat,5.413571,-3.962126,,,,,,,,,,
node/10276806535,Carrefour Akissi Delta,5.415155,-3.963279,,,,,,,,,,
node/10276806536,Boulangerie Flamand,5.416863,-3.964482,,,,,,,,,,
node/10276806537,Carrefour des prêtes,5.419640,-3.966755,,,,,,,,,,
node/10276806538,Carrefour Cabri,5.420148,-3.968932,,,,,,,,,,
node/10276806539,Carrefou Kanga,5.418997,-3.971740,,,,,,,,,,
node/10276806540,Pharmacie Redemption,5.416771,-3.974969,,,,,,,,,,
node/10276806608,Angre fin goudron,5.415706,-3.976846,,,,,,,,,,
node/10276820709,Carrefour Cité Militaire,5.417402,-3.974327,,,,,,,,,,
node/10276820710,A la Boulangerie,5.418154,-3.973224,,,,,,,,,,
node/10276820711,Carrefou Kanga,5.419302,-3.971531,,,,,,,,,,
node/10276820712,Carrefour Cabri,5.420264,-3.968536,,,,,,,,,,
node/10276820713,Carrefour des prêtes,5.416709,-3.964191,,,,,,,,,,
node/10276820714,EPV les merveilles,5.415463,-3.963288,,,,,,,,,,
node/10276820715,Carrefour Oribat,5.413662,-3.961941,,,,,,,,,,
node/10276820716,Pharmacie Sainte Clémentine,5.404710,-3.955724,,,,,,,,,,
node/10276820717,CHU Angré,5.399850,-3.956238,,,,,,,,,,
node/10276820718,Rond Point du Chateau,5.389126,-3.925360,,,,,,,,,,
node/10276820719,Nouveau goudron Abatta,5.374464,-3.928936,,,,,,,,,,
node/10289441892,Carrefour Duncan,5.377598,-3.997211,,,,,,,,,,
node/10289441893,RTI Publicité,5.377178,-3.995290,,,,,,,,,,
node/10289441894,BOA Agence Rue des jardins,5.371625,-3.990237,,,,,,,,,,
node/10289441895,Nuit Saigon,5.368406,-3.989748,,,,,,,,,,
node/10289441896,Mr Chou,5.367027,-3.989681,,,,,,,,,,
node/10289441898,Club House,5.366196,-3.989775,,,,,,,,,,
node/10289441899,Nuit Saigon,5.368521,-3.989858,,,,,,,,,,
node/10289441900,Pharmacie Saint Joseph,5.369216,-3.989950,,,,,,,,,,
node/10289441901,BOA Agence Rue des jardins,5.371735,-3.990337,,,,,,,,,,
